px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.90911	-10.7485	-2.76889	1.80296	-0.222346	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.205094
9.91452	-10.895	-2.73932	1.76216	-0.261636	9.88465	-10.9383	9.85	-10.9	0	-2.73074	0.0234415
9.91646	-11.0494	-2.73957	1.72998	-0.278781	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.378123
9.9326	-11.184	-2.73779	1.71308	-0.281871	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.000561437
9.92401	-11.3311	-2.74422	1.67931	-0.300431	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.391236
9.93795	-11.4704	-2.74883	1.66477	-0.298799	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.000262618
9.92065	-11.6179	-2.75548	1.62918	-0.318201	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.476667
9.84944	-11.7476	-2.69227	1.52756	-0.439295	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	0.179648
9.8224	-11.8805	-2.68931	1.49299	-0.451487	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.361898
9.7986	-12.0118	-2.68302	1.45935	-0.466004	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.00267325
9.75234	-12.1514	-2.68979	1.41599	-0.484586	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.564035
9.68359	-12.28	-2.66818	1.33654	-0.563068	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	0.061219
9.6302	-12.4039	-2.66416	1.29518	-0.575777	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.523183
9.51018	-12.5139	-2.63298	1.1721	-0.707564	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	0.155275
9.43858	-12.6251	-2.6264	1.12463	-0.71938	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.61195
9.35727	-12.7493	-2.62307	1.06537	-0.746945	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.0062715
9.27401	-12.859	-2.61076	1.01593	-0.755958	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.636862
9.09916	-12.9389	-2.60515	0.845278	-0.944516	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	0.294259
8.97689	-13.0256	-2.60971	0.775962	-0.964132	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	1.28432
8.82598	-13.1036	-2.61678	0.665448	-1.0436	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0.05097
8.70292	-13.1683	-2.60121	0.598163	-1.05483	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0.893348
8.54981	-13.2167	-2.61863	0.484819	-1.14061	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0.0599106
8.41932	-13.2575	-2.61227	0.415057	-1.15295	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0.741666
8.23311	-13.2756	-2.64537	0.272658	-1.2651	8.22926	-13.1698	8.2	-13.15	-2.72741	0	0.10798
8.0828	-13.286	-2.63406	0.188274	-1.28038	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.06554
7.92204	-13.2884	-2.64534	0.0906775	-1.31633	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.0166966
